"circuitRef","name","location","country","countryFlag","countryCode","lat","lng","alt","url","races","totalDrivers","winningDrivers","podiumDrivers","mostWinsDriver","mostWinsDriverWins","totalConstructors","winningConstructors","podiumConstructors","mostWinsConstructor","mostWinsCondtructorWins"
"pescara","Pescara Circuit","Pescara","Italy","🇮🇹","it","42.474998474121094","14.150799751281738","","http://en.wikipedia.org/wiki/Pescara_Circuit","1","16","1","3","moss","1","4","1","2","vanwall",""
"phoenix","Phoenix street circuit","Phoenix","USA","🇺🇸","us","33.447898864746094","-112.07499694824219","","http://en.wikipedia.org/wiki/Phoenix_street_circuit","3","54","2","7","senna","2","26","1","6","mclaren",""
"port_imperial","Port Imperial Street Circuit","New Jersey","USA","🇺🇸","us","40.77690124511719","-74.01110076904297","","http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit","0","0","0","0","","","0","0","0","",""
"george","Prince George Circuit","Eastern Cape Province","South Africa","🇿🇦","za","-33.04859924316406","27.873600006103516","","http://en.wikipedia.org/wiki/Prince_George_Circuit","3","43","2","6","clark","2","21","2","5","lotus-climax",""
"red_bull_ring","Red Bull Ring","Spielburg","Austria","🇦🇹","at","47.21969985961914","14.764699935913086","","http://en.wikipedia.org/wiki/Red_Bull_Ring","6","37","4","8","rosberg","2","14","2","4","mercedes",""
"reims","Reims-Gueux","Reims","France","🇫🇷","fr","49.25419998168945","3.9308300018310547","","http://en.wikipedia.org/wiki/Reims-Gueux","11","112","8","26","fangio","3","35","6","10","ferrari",""
"riverside","Riverside International Raceway","California","USA","🇺🇸","us","33.9370002746582","-117.27300262451172","","http://en.wikipedia.org/wiki/Riverside_International_Raceway","1","23","1","3","moss","1","7","1","2","team_lotus",""
"essarts","Rouen-Les-Essarts","Rouen","France","🇫🇷","fr","49.33060073852539","1.004580020904541","","http://en.wikipedia.org/wiki/Rouen-Les-Essarts","5","66","4","14","gurney","2","25","4","8","ferrari",""
"anderstorp","Scandinavian Raceway","Anderstorp","Sweden","🇸🇪","se","57.26530075073242","13.60420036315918","","http://en.wikipedia.org/wiki/Scandinavian_Raceway","6","72","4","12","lauda","2","29","5","8","tyrrell",""
"sebring","Sebring International Raceway","Florida","USA","🇺🇸","us","27.454700469970703","-81.34829711914062","","http://en.wikipedia.org/wiki/Sebring_Raceway","1","19","1","3","mclaren","1","11","1","2","cooper-climax",""
"sepang","Sepang International Circuit","Kuala Lumpur","Malaysia","🇲🇾","my","2.7608299255371094","101.73799896240234","","http://en.wikipedia.org/wiki/Sepang_International_Circuit","19","99","11","23","vettel","4","32","7","12","ferrari",""
"shanghai","Shanghai International Circuit","Shanghai","China","🇨🇳","cn","31.338899612426758","121.22000122070312","","http://en.wikipedia.org/wiki/Shanghai_International_Circuit","16","81","9","16","hamilton","5","28","5","9","mercedes",""
"silverstone","Silverstone Circuit","Silverstone","UK","🇬🇧","gb","52.0786018371582","-1.0169399976730347","","http://en.wikipedia.org/wiki/Silverstone_Circuit","53","411","30","71","hamilton","5","120","13","26","ferrari",""
"sochi","Sochi Autodrom","Sochi","Russia","🇷🇺","ru","43.40570068359375","39.957801818847656","","http://en.wikipedia.org/wiki/Sochi_Autodrom","6","36","3","6","hamilton","3","14","1","4","mercedes",""
"suzuka","Suzuka Circuit","Suzuka","Japan","🇯🇵","jp","34.843101501464844","136.54100036621094","","http://en.wikipedia.org/wiki/Suzuka_Circuit","31","167","15","37","michael_schumacher","6","53","7","13","mclaren",""
"valencia","Valencia Street Circuit","Valencia","Spain","🇪🇸","es","39.458900451660156","-0.3316670060157776","","http://en.wikipedia.org/wiki/Valencia_Street_Circuit","5","41","4","10","vettel","2","19","3","7","ferrari",""
"watkins_glen","Watkins Glen","New York State","USA","🇺🇸","us","42.33689880371094","-76.92720031738281","","http://en.wikipedia.org/wiki/Watkins_Glen_International","20","148","13","30","clark","3","55","11","25","ferrari",""
"yas_marina","Yas Marina Circuit","Abu Dhabi","UAE","🇦🇪","ae","24.467199325561523","54.60309982299805","","http://en.wikipedia.org/wiki/Yas_Marina_Circuit","11","59","5","10","hamilton","4","20","4","7","mercedes",""
"zeltweg","Zeltweg","Styria","Austria","🇦🇹","at","47.20389938354492","14.74779987335205","","http://en.wikipedia.org/wiki/Zeltweg_Airfield","1","20","1","3","bandini","1","8","1","3","ferrari",""
"zolder","Zolder","Heusden-Zolder","Belgium","🇧🇪","be","50.98939895629883","5.256939888000488","","http://en.wikipedia.org/wiki/Zolder","10","104","9","20","lauda","2","36","6","8","ferrari",""
